technode, 14, 0, subarrayheight, 0.000100392, subarraywidth, 0.000121924, subarray_usedarea, 1.15618e-08, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 7.72074e-11, col_delay, 5.54476e-11, ADC_delay, 0, multisense_delay, 8.80188e-10, WL_delay, 1.26867e-10, encoder_delay, 1.50307e-10, mux_delay, 1.26867e-10, NOR_delay, 0, row_delay, 1.49422e-11, mux_res, 0, capcell_SRAM, 5.467e-17, capcell_row_SRAM, 1.90056e-16, rescell_SRAM, 2.35498, peBufferarea, 4.21294e-07, tileBufferarea, 4.6848e-07, chipBufferarea, 4.75253e-06, 
technode, 10, 0, subarrayheight, 7.34057e-05, subarraywidth, 8.788e-05, subarray_usedarea, 6.14491e-09, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 6.82735e-11, col_delay, 4.99136e-11, ADC_delay, 0, multisense_delay, 8.48803e-10, WL_delay, 1.17969e-10, encoder_delay, 1.23528e-10, mux_delay, 1.17969e-10, NOR_delay, 0, row_delay, 1.15509e-11, mux_res, 0, capcell_SRAM, 5.228e-17, capcell_row_SRAM, 1.60049e-16, rescell_SRAM, 5.22314, peBufferarea, 2.55003e-07, tileBufferarea, 2.20026e-07, chipBufferarea, 2.23297e-06, 
technode, 7, 0, subarrayheight, 7.1434e-05, subarraywidth, 6.95193e-05, subarray_usedarea, 4.59889e-09, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 6.90151e-11, col_delay, 4.10514e-11, ADC_delay, 0, multisense_delay, 8.23793e-10, WL_delay, 1.24101e-10, encoder_delay, 1.13557e-10, mux_delay, 1.24101e-10, NOR_delay, 0, row_delay, 1.05757e-11, mux_res, 0, capcell_SRAM, 4.464e-17, capcell_row_SRAM, 1.48699e-16, rescell_SRAM, 5.838, peBufferarea, 1.20583e-07, tileBufferarea, 1.42528e-07, chipBufferarea, 1.4464e-06, 
technode, 5, 0, subarrayheight, 6.02941e-05, subarraywidth, 6.1943e-05, subarray_usedarea, 3.53042e-09, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 5.21932e-11, col_delay, 3.73823e-11, ADC_delay, 0, multisense_delay, 7.81587e-10, WL_delay, 1.1117e-10, encoder_delay, 9.28241e-11, mux_delay, 1.1117e-10, NOR_delay, 0, row_delay, 2.36358e-11, mux_res, 0, capcell_SRAM, 3.996e-17, capcell_row_SRAM, 1.25609e-16, rescell_SRAM, 10.624, peBufferarea, 8.75153e-08, tileBufferarea, 9.55646e-08, chipBufferarea, 9.70145e-07, 
technode, 3, 0, subarrayheight, 5.75422e-05, subarraywidth, 5.62637e-05, subarray_usedarea, 3.1087e-09, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 6.39455e-11, col_delay, 3.3091e-11, ADC_delay, 0, multisense_delay, 7.39999e-10, WL_delay, 1.48975e-10, encoder_delay, 7.93349e-11, mux_delay, 1.48975e-10, NOR_delay, 0, row_delay, 2.19041e-11, mux_res, 0, capcell_SRAM, 3.591e-17, capcell_row_SRAM, 1.13528e-16, rescell_SRAM, 18.125, peBufferarea, 7.39251e-08, tileBufferarea, 7.19065e-08, chipBufferarea, 7.3017e-07, 
technode, 2, 0, subarrayheight, 5.14233e-05, subarraywidth, 7.0446e-05, subarray_usedarea, 3.33183e-09, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 5.73667e-11, col_delay, 2.7963e-11, ADC_delay, 0, multisense_delay, 7.30614e-10, WL_delay, 1.50898e-10, encoder_delay, 8.45546e-11, mux_delay, 1.50898e-10, NOR_delay, 0, row_delay, 9.46979e-11, mux_res, 0, capcell_SRAM, 3.223e-17, capcell_row_SRAM, 1.2774e-16, rescell_SRAM, 27.762, peBufferarea, 5.54034e-08, tileBufferarea, 5.02119e-08, chipBufferarea, 5.09013e-07, 
technode, 1, 0, subarrayheight, 5.63655e-05, subarraywidth, 4.48e-05, subarray_usedarea, 2.1946e-09, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 5.95779e-11, col_delay, 3.07679e-11, ADC_delay, 0, multisense_delay, 7.09788e-10, WL_delay, 1.16014e-10, encoder_delay, 7.63076e-11, mux_delay, 1.16014e-10, NOR_delay, 0, row_delay, 7.32674e-11, mux_res, 0, capcell_SRAM, 3.009e-17, capcell_row_SRAM, 9.574e-17, rescell_SRAM, 32.7917, peBufferarea, 5.29281e-08, tileBufferarea, 3.35393e-08, chipBufferarea, 3.40076e-07, 
technode, 22, 0, subarrayheight, 0.000323286, subarraywidth, 0.000588579, subarray_usedarea, 1.87853e-07, addertree_width, 1.11714e-05, wlSwitchMatrix_width, 3.6784e-06, InputDFF_width, 2.0064e-06, DFF_width, 2.0064e-06, wlDecoder_width , 1.9888e-06, shiftAddInput_height, 2.53021e-06, sramWriteDriver_height, 1.848e-06, precharger_height, 1.848e-06, senseAmp_height, 2.508e-07, addertree_delay, 1.08867e-09, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, WL_delay, 4.89464e-11, encoder_delay, 0, mux_delay, 0, NOR_delay, 7.37137e-12, row_delay, 0, mux_res, 0, capcell_SRAM, 0, capcell_row_SRAM, 0, rescell_SRAM, 0, peBufferarea, 8.25143e-07, tileBufferarea, 5.38595e-07, chipBufferarea, 5.44594e-06, 
technode, 14, 0, subarrayheight, 0.000302505, subarraywidth, 0.000552958, subarray_usedarea, 1.65058e-07, addertree_width, 1.04223e-05, wlSwitchMatrix_width, 7.17545e-06, InputDFF_width, 1.87186e-06, DFF_width, 1.87186e-06, wlDecoder_width , 1.95961e-06, shiftAddInput_height, 2.36054e-06, sramWriteDriver_height, 1.72796e-06, precharger_height, 1.72796e-06, senseAmp_height, 3.43803e-07, addertree_delay, 1.04795e-09, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, WL_delay, 6.93859e-11, encoder_delay, 0, mux_delay, 0, NOR_delay, 7.12177e-12, row_delay, 0, mux_res, 0, capcell_SRAM, 0, capcell_row_SRAM, 0, rescell_SRAM, 0, peBufferarea, 7.21951e-07, tileBufferarea, 4.70136e-07, chipBufferarea, 4.75253e-06, 
technode, 10, 0, subarrayheight, 0.000173373, subarraywidth, 0.000453608, subarray_usedarea, 7.76017e-08, addertree_width, 8.55225e-06, wlSwitchMatrix_width, 4.096e-06, InputDFF_width, 1.536e-06, DFF_width, 1.536e-06, wlDecoder_width , 1.472e-06, shiftAddInput_height, 1.937e-06, sramWriteDriver_height, 9.9e-07, precharger_height, 9.9e-07, senseAmp_height, 2.26286e-07, addertree_delay, 8.59184e-10, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, WL_delay, 4.17826e-11, encoder_delay, 0, mux_delay, 0, NOR_delay, 5.83093e-12, row_delay, 0, mux_res, 0, capcell_SRAM, 0, capcell_row_SRAM, 0, rescell_SRAM, 0, peBufferarea, 3.39449e-07, tileBufferarea, 2.20805e-07, chipBufferarea, 2.23297e-06, 
technode, 7, 0, subarrayheight, 0.000126176, subarraywidth, 0.000409476, subarray_usedarea, 5.09561e-08, addertree_width, 7.61679e-06, wlSwitchMatrix_width, 3.19198e-06, InputDFF_width, 1.36799e-06, DFF_width, 1.36799e-06, wlDecoder_width , 1.32352e-06, shiftAddInput_height, 1.72513e-06, sramWriteDriver_height, 7.19985e-07, precharger_height, 7.19985e-07, senseAmp_height, 2.09382e-07, addertree_delay, 7.82824e-10, precharge_delay, 0, col_delay, 0, ADC_delay, 0, multisense_delay, 0, WL_delay, 1.71367e-11, encoder_delay, 0, mux_delay, 0, NOR_delay, 5.26421e-12, row_delay, 0, mux_res, 0, capcell_SRAM, 0, capcell_row_SRAM, 0, rescell_SRAM, 0, peBufferarea, 2.21038e-07, tileBufferarea, 1.43032e-07, chipBufferarea, 1.4464e-06, 
