technode, 22, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 6.3102e-05, PE_bus , 4.88776e-06, PE_Addertree , 1.6036e-08, PE_buffer , 5.34701e-07, PE_total , 5.43849e-06, PE_leakage , 6.55522e-06, Tile_Leakage , 6.42443e-05, Tile_htree , 2.0909e-05, Tile_addertree , 1.89309e-06, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.435e-07, Tile_total , 2.29456e-05, Chip_buffer , 3.20546e-08, Chip_htree , 1.97992e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.9518e-08, Chip_maxpool , 1.55003e-11, Chip_total , 1.98508e-05, Total dynamic , 0.000111329, Total leakage , 2.483e-06, 
technode, 14, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 4.9417e-05, PE_bus , 3.6544e-06, PE_Addertree , 6.11745e-09, PE_buffer , 4.27082e-07, PE_total , 4.0876e-06, PE_leakage , 1.84673e-05, Tile_Leakage , 0.000169237, Tile_htree , 1.48969e-05, Tile_addertree , 7.22086e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.14618e-07, Tile_total , 1.57336e-05, Chip_buffer , 2.5603e-08, Chip_htree , 1.41311e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.55896e-08, Chip_maxpool , 9.49709e-12, Chip_total , 1.41723e-05, Total dynamic , 8.34075e-05, Total leakage , 6.36781e-06, 
technode, 10, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 3.81407e-05, PE_bus , 2.30268e-06, PE_Addertree , 5.04377e-09, PE_buffer , 3.51904e-07, PE_total , 2.65963e-06, PE_leakage , 2.05857e-05, Tile_Leakage , 0.000188284, Tile_htree , 9.59933e-06, Tile_addertree , 5.9535e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 9.44419e-08, Tile_total , 1.02891e-05, Chip_buffer , 2.10962e-08, Chip_htree , 8.95685e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.28454e-08, Chip_maxpool , 8.12613e-12, Chip_total , 8.9908e-06, Total dynamic , 6.00777e-05, Total leakage , 6.63515e-06, 
technode, 7, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 3.17754e-05, PE_bus , 1.86806e-06, PE_Addertree , 4.47706e-09, PE_buffer , 3.11058e-07, PE_total , 2.18359e-06, PE_leakage , 2.25115e-05, Tile_Leakage , 0.000205722, Tile_htree , 7.06362e-06, Tile_addertree , 5.28449e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 8.34798e-08, Tile_total , 7.67555e-06, Chip_buffer , 1.86475e-08, Chip_htree , 6.5788e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.13544e-08, Chip_maxpool , 5.00482e-12, Chip_total , 6.60881e-06, Total dynamic , 4.82411e-05, Total leakage , 7.08671e-06, 
technode, 5, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 2.6235e-05, PE_bus , 1.58771e-06, PE_Addertree , 3.66077e-09, PE_buffer , 2.5143e-07, PE_total , 1.8428e-06, PE_leakage , 2.15462e-05, Tile_Leakage , 0.000196986, Tile_htree , 6.14821e-06, Tile_addertree , 4.32101e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 6.74773e-08, Tile_total , 6.64779e-06, Chip_buffer , 1.50729e-08, Chip_htree , 5.65247e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 9.17787e-09, Chip_maxpool , 4.30716e-12, Chip_total , 5.67672e-06, Total dynamic , 4.04005e-05, Total leakage , 6.22504e-06, 
technode, 3, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 2.40814e-05, PE_bus , 1.52994e-06, PE_Addertree , 3.21353e-09, PE_buffer , 2.22748e-07, PE_total , 1.7559e-06, PE_leakage , 2.21462e-05, Tile_Leakage , 0.000202319, Tile_htree , 5.88454e-06, Tile_addertree , 3.79305e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.97798e-08, Tile_total , 6.32363e-06, Chip_buffer , 1.33535e-08, Chip_htree , 5.37465e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 8.13089e-09, Chip_maxpool , 3.57809e-12, Chip_total , 5.39614e-06, Total dynamic , 3.75554e-05, Total leakage , 6.38676e-06, 
technode, 2, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 2.14296e-05, PE_bus , 1.25089e-06, PE_Addertree , 2.01724e-09, PE_buffer , 1.04486e-07, PE_total , 1.35739e-06, PE_leakage , 1.93942e-05, Tile_Leakage , 0.000176622, Tile_htree , 5.10295e-06, Tile_addertree , 2.381e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.80414e-08, Tile_total , 5.36909e-06, Chip_buffer , 6.26383e-09, Chip_htree , 4.61606e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 3.81403e-09, Chip_maxpool , 2.75594e-12, Chip_total , 4.62614e-06, Total dynamic , 3.27813e-05, Total leakage , 6.6054e-06, 
technode, 1, toggleindex, 0, subarray_selfleakage , 0, PE_selfleakage , 0, Tile_selfleakage, 0, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 1.49083e-05, PE_bus , 1.01143e-06, PE_Addertree , 1.43255e-09, PE_buffer , 9.78257e-08, PE_total , 1.11069e-06, PE_leakage , 2.74446e-05, Tile_Leakage , 0.00024925, Tile_htree , 3.54362e-06, Tile_addertree , 1.69086e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.62539e-08, Tile_total , 3.73896e-06, Chip_buffer , 5.86453e-09, Chip_htree , 3.19219e-06, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 3.57089e-09, Chip_maxpool , 1.94563e-12, Chip_total , 3.20163e-06, Total dynamic , 2.29589e-05, Total leakage , 9.55881e-06, 
technode, 22, toggleindex, 0, subarray_selfleakage , 5.70213e-08, PE_selfleakage , 9.12341e-07, Tile_selfleakage, 3.64937e-06, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 0.000110193, PE_bus , 1.74672e-05, PE_Addertree , 2.09448e-08, PE_buffer , 6.59353e-07, PE_total , 1.81475e-05, PE_leakage , 0.000191015, Tile_Leakage , 0.00172592, Tile_htree , 7.18064e-05, Tile_addertree , 2.3224e-06, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.62051e-07, Tile_total , 7.42909e-05, Chip_buffer , 3.20546e-08, Chip_htree , 5.64022e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.9518e-08, Chip_maxpool , 1.55003e-11, Chip_total , 5.64538e-05, Total dynamic , 0.000259074, Total leakage , 9.57119e-05, 
technode, 14, toggleindex, 0, subarray_selfleakage , 8.11032e-08, PE_selfleakage , 1.29765e-06, Tile_selfleakage, 5.19061e-06, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 5.37349e-05, PE_bus , 1.52466e-05, PE_Addertree , 7.98913e-09, PE_buffer , 5.26645e-07, PE_total , 1.57812e-05, PE_leakage , 0.000122904, Tile_Leakage , 0.00111037, Tile_htree , 7.94259e-05, Tile_addertree , 8.85776e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.29435e-07, Tile_total , 8.04411e-05, Chip_buffer , 2.5603e-08, Chip_htree , 6.26899e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.55896e-08, Chip_maxpool , 9.49709e-12, Chip_total , 6.27311e-05, Total dynamic , 0.000212684, Total leakage , 4.874e-05, 
technode, 10, toggleindex, 0, subarray_selfleakage , 9.34467e-08, PE_selfleakage , 1.49515e-06, Tile_selfleakage, 5.98059e-06, totalsubarrayoperations , 1.41648e+06, Macrototaldynamic , 4.13817e-05, PE_bus , 8.60544e-06, PE_Addertree , 6.58694e-09, PE_buffer , 4.33942e-07, PE_total , 9.04597e-06, PE_leakage , 0.00013678, Tile_Leakage , 0.00123513, Tile_htree , 3.85079e-05, Tile_addertree , 7.3031e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.06651e-07, Tile_total , 3.93449e-05, Chip_buffer , 2.10962e-08, Chip_htree , 3.0004e-05, Chip_addertree , 0, Chip_sigmoid , 0, Chip_ReLU , 1.28454e-08, Chip_maxpool , 8.12613e-12, Chip_total , 3.0038e-05, Total dynamic , 0.000119807, Total leakage , 6.70754e-05, 
