technode, 22, toggleindex, 0, subarray_selfleakage , 5.70213e-08, PE_selfleakage , 9.12341e-07, Tile_selfleakage, 3.64937e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 2.08487e-05, PE_bus , 2.88538e-06, PE_Addertree , 1.02545e-08, PE_buffer , 1.2403e-07, PE_total , 3.01967e-06, PE_leakage , 0.000192215, Tile_Leakage , 0.00173079, Tile_htree , 1.15924e-05, Tile_addertree , 1.25363e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 3.02019e-08, Tile_total , 1.1748e-05, Chip_buffer , 5.18466e-09, Chip_htree , 6.46094e-06, Chip_addertree , 1.28601e-08, Chip_sigmoid , 0, Chip_ReLU , 4.36912e-09, Chip_maxpool , 2.84986e-11, Chip_total , 6.48338e-06, Total dynamic , 4.20946e-05, Total leakage , 5.75155e-06, 
technode, 14, toggleindex, 0, subarray_selfleakage , 8.11032e-08, PE_selfleakage , 1.29765e-06, Tile_selfleakage, 5.19061e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 9.43542e-06, PE_bus , 2.51901e-06, PE_Addertree , 3.91095e-09, PE_buffer , 9.90666e-08, PE_total , 2.62198e-06, PE_leakage , 0.000123716, Tile_Leakage , 0.00111454, Tile_htree , 1.28224e-05, Tile_addertree , 4.78099e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.41231e-08, Tile_total , 1.28944e-05, Chip_buffer , 4.14114e-09, Chip_htree , 7.18111e-06, Chip_addertree , 4.90438e-09, Chip_sigmoid , 0, Chip_ReLU , 3.48974e-09, Chip_maxpool , 1.73456e-11, Chip_total , 7.19366e-06, Total dynamic , 3.21435e-05, Total leakage , 3.05475e-06, 
technode, 10, toggleindex, 0, subarray_selfleakage , 9.34467e-08, PE_selfleakage , 1.49515e-06, Tile_selfleakage, 5.98059e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 7.7986e-06, PE_bus , 1.44539e-06, PE_Addertree , 3.22452e-09, PE_buffer , 8.16283e-08, PE_total , 1.53024e-06, PE_leakage , 0.000137622, Tile_Leakage , 0.00123957, Tile_htree , 6.21668e-06, Tile_addertree , 3.94185e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.98768e-08, Tile_total , 6.27597e-06, Chip_buffer , 3.41219e-09, Chip_htree , 3.437e-06, Chip_addertree , 4.04359e-09, Chip_sigmoid , 0, Chip_ReLU , 2.87546e-09, Chip_maxpool , 1.48947e-11, Chip_total , 3.44735e-06, Total dynamic , 1.90505e-05, Total leakage , 4.07399e-06, 
technode, 7, toggleindex, 0, subarray_selfleakage , 8.91539e-08, PE_selfleakage , 1.42646e-06, Tile_selfleakage, 5.70585e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 6.85587e-06, PE_bus , 1.02246e-06, PE_Addertree , 2.86213e-09, PE_buffer , 7.21535e-08, PE_total , 1.09747e-06, PE_leakage , 0.000167776, Tile_Leakage , 0.00151093, Tile_htree , 4.17445e-06, Tile_addertree , 3.49883e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.75697e-08, Tile_total , 4.227e-06, Chip_buffer , 3.01613e-09, Chip_htree , 2.30679e-06, Chip_addertree , 3.58912e-09, Chip_sigmoid , 0, Chip_ReLU , 2.5417e-09, Chip_maxpool , 9.2078e-12, Chip_total , 2.31594e-06, Total dynamic , 1.44949e-05, Total leakage , 4.60916e-06, 
technode, 5, toggleindex, 0, subarray_selfleakage , 8.53826e-08, PE_selfleakage , 1.36612e-06, Tile_selfleakage, 5.46448e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 5.73178e-06, PE_bus , 8.35038e-07, PE_Addertree , 2.34031e-09, PE_buffer , 5.83222e-08, PE_total , 8.957e-07, PE_leakage , 0.00015628, Tile_Leakage , 0.00140746, Tile_htree , 3.39727e-06, Tile_addertree , 2.86093e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.42017e-08, Tile_total , 3.44007e-06, Chip_buffer , 2.43796e-09, Chip_htree , 1.87283e-06, Chip_addertree , 2.93477e-09, Chip_sigmoid , 0, Chip_ReLU , 2.05447e-09, Chip_maxpool , 7.96589e-12, Chip_total , 1.88026e-06, Total dynamic , 1.19466e-05, Total leakage , 3.57416e-06, 
technode, 3, toggleindex, 0, subarray_selfleakage , 8.86929e-08, PE_selfleakage , 1.41909e-06, Tile_selfleakage, 5.67635e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 5.13632e-06, PE_bus , 7.44917e-07, PE_Addertree , 2.05433e-09, PE_buffer , 5.16691e-08, PE_total , 7.9864e-07, PE_leakage , 0.000172983, Tile_Leakage , 0.00155785, Tile_htree , 3.02941e-06, Tile_addertree , 2.51133e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.25816e-08, Tile_total , 3.0671e-06, Chip_buffer , 2.15985e-09, Chip_htree , 1.66972e-06, Chip_addertree , 2.57613e-09, Chip_sigmoid , 0, Chip_ReLU , 1.82011e-09, Chip_maxpool , 6.58171e-12, Chip_total , 1.67629e-06, Total dynamic , 1.06773e-05, Total leakage , 2.89363e-06, 
technode, 2, toggleindex, 0, subarray_selfleakage , 5.6362e-08, PE_selfleakage , 9.01793e-07, Tile_selfleakage, 3.60717e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 2.43684e-06, PE_bus , 5.27462e-07, PE_Addertree , 1.28955e-09, PE_buffer , 2.42368e-08, PE_total , 5.52988e-07, PE_leakage , 0.000123536, Tile_Leakage , 0.00111238, Tile_htree , 2.14216e-06, Tile_addertree , 1.57641e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.90177e-09, Tile_total , 2.16383e-06, Chip_buffer , 1.01314e-09, Chip_htree , 1.18371e-06, Chip_addertree , 1.61709e-09, Chip_sigmoid , 0, Chip_ReLU , 8.53773e-10, Chip_maxpool , 5.09874e-12, Chip_total , 1.1872e-06, Total dynamic , 6.34021e-06, Total leakage , 1.67876e-06, 
technode, 1, toggleindex, 0, subarray_selfleakage , 9.21516e-08, PE_selfleakage , 1.47442e-06, Tile_selfleakage, 5.8977e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 1.83564e-06, PE_bus , 3.88078e-07, PE_Addertree , 9.15763e-10, PE_buffer , 2.26918e-08, PE_total , 4.11686e-07, PE_leakage , 0.000167252, Tile_Leakage , 0.00150615, Tile_htree , 1.50357e-06, Tile_addertree , 1.11947e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 5.52555e-09, Tile_total , 1.52029e-06, Chip_buffer , 9.48554e-10, Chip_htree , 8.28957e-07, Chip_addertree , 1.14836e-09, Chip_sigmoid , 0, Chip_ReLU , 7.99347e-10, Chip_maxpool , 3.59731e-12, Chip_total , 8.31856e-07, Total dynamic , 4.59901e-06, Total leakage , 2.15759e-06, 
technode, 22, toggleindex, 1, subarray_selfleakage , 5.70213e-08, PE_selfleakage , 9.12341e-07, Tile_selfleakage, 3.64937e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 3.32245e-05, PE_bus , 2.88538e-06, PE_Addertree , 1.02545e-08, PE_buffer , 1.2403e-07, PE_total , 3.01967e-06, PE_leakage , 0.000192215, Tile_Leakage , 0.00173079, Tile_htree , 1.15924e-05, Tile_addertree , 1.25363e-07, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 3.02019e-08, Tile_total , 1.1748e-05, Chip_buffer , 5.18466e-09, Chip_htree , 6.46094e-06, Chip_addertree , 1.28601e-08, Chip_sigmoid , 0, Chip_ReLU , 4.36912e-09, Chip_maxpool , 2.84986e-11, Chip_total , 6.48338e-06, Total dynamic , 5.44704e-05, Total leakage , 5.75155e-06, 
technode, 14, toggleindex, 1, subarray_selfleakage , 8.11032e-08, PE_selfleakage , 1.29765e-06, Tile_selfleakage, 5.19061e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 1.52235e-05, PE_bus , 2.51901e-06, PE_Addertree , 3.91095e-09, PE_buffer , 9.90666e-08, PE_total , 2.62198e-06, PE_leakage , 0.000123716, Tile_Leakage , 0.00111454, Tile_htree , 1.28224e-05, Tile_addertree , 4.78099e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 2.41231e-08, Tile_total , 1.28944e-05, Chip_buffer , 4.14114e-09, Chip_htree , 7.18111e-06, Chip_addertree , 4.90438e-09, Chip_sigmoid , 0, Chip_ReLU , 3.48974e-09, Chip_maxpool , 1.73456e-11, Chip_total , 7.19366e-06, Total dynamic , 3.79316e-05, Total leakage , 3.05475e-06, 
technode, 10, toggleindex, 1, subarray_selfleakage , 9.34467e-08, PE_selfleakage , 1.49515e-06, Tile_selfleakage, 5.98059e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 1.22518e-05, PE_bus , 1.44539e-06, PE_Addertree , 3.22452e-09, PE_buffer , 8.16283e-08, PE_total , 1.53024e-06, PE_leakage , 0.000137622, Tile_Leakage , 0.00123957, Tile_htree , 6.21668e-06, Tile_addertree , 3.94185e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.98768e-08, Tile_total , 6.27597e-06, Chip_buffer , 3.41219e-09, Chip_htree , 3.437e-06, Chip_addertree , 4.04359e-09, Chip_sigmoid , 0, Chip_ReLU , 2.87546e-09, Chip_maxpool , 1.48947e-11, Chip_total , 3.44735e-06, Total dynamic , 2.35037e-05, Total leakage , 4.07399e-06, 
technode, 7, toggleindex, 1, subarray_selfleakage , 8.91539e-08, PE_selfleakage , 1.42646e-06, Tile_selfleakage, 5.70585e-06, totalsubarrayoperations , 646432, Macrototaldynamic , 1.08701e-05, PE_bus , 1.02246e-06, PE_Addertree , 2.86213e-09, PE_buffer , 7.21535e-08, PE_total , 1.09747e-06, PE_leakage , 0.000167776, Tile_Leakage , 0.00151093, Tile_htree , 4.17445e-06, Tile_addertree , 3.49883e-08, Tile_sigmoid , 0, Tile_ReLU , 0, Tile_buffer , 1.75697e-08, Tile_total , 4.227e-06, Chip_buffer , 3.01613e-09, Chip_htree , 2.30679e-06, Chip_addertree , 3.58912e-09, Chip_sigmoid , 0, Chip_ReLU , 2.5417e-09, Chip_maxpool , 9.2078e-12, Chip_total , 2.31594e-06, Total dynamic , 1.85091e-05, Total leakage , 4.60916e-06, 
